,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.327,0.28,-0.172,0.883,0.003,0.003,6602.0,6162.0,1.0
beta[0],-0.243,0.275,-0.75,0.274,0.003,0.002,8386.0,6861.0,1.0
beta[1],-0.37,0.273,-0.893,0.136,0.003,0.002,7936.0,6435.0,1.0
beta[2],-0.341,0.276,-0.837,0.185,0.003,0.003,6875.0,5928.0,1.0
theta[0],0.58,0.067,0.461,0.711,0.001,0.001,6602.0,6162.0,1.0
theta[1],0.497,0.065,0.377,0.621,0.001,0.0,9006.0,7284.0,1.0
theta[2],0.49,0.071,0.359,0.626,0.001,0.001,7755.0,6551.0,1.0
theta[3],0.407,0.064,0.285,0.523,0.001,0.0,8925.0,7931.0,1.0
theta[4],0.521,0.066,0.396,0.643,0.001,0.001,8559.0,7294.0,1.0
theta[5],0.437,0.069,0.312,0.566,0.001,0.001,8994.0,7018.0,1.0
theta[6],0.43,0.062,0.314,0.544,0.001,0.0,9474.0,7303.0,1.0
theta[7],0.351,0.059,0.238,0.459,0.001,0.0,7907.0,7387.0,1.0
